name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	total_assigned_reads
Erythrobacter	1041	G	30	0	30
Brevundimonas	41275	G	87	1	88
Phenylobacterium	20	G	35	0	35
Asticcacaulis	76890	G	27	0	27
Caulobacter	75	G	21	0	21
Marinicauda	1649466	G	69	1	70
Burkholderia	32008	G	160	44	204
Paraburkholderia	1822464	G	115	0	115
Cupriavidus	106589	G	107	2	109
Ralstonia	48736	G	15	0	15
Alcaligenes	507	G	340	20	360
Achromobacter	222	G	34	3	37
Bordetella	517	G	16	1	17
Acidovorax	12916	G	101	3	104
Diaphorobacter	238749	G	83	121	204
Rubrivivax	28067	G	31	0	31
Sphaerotilus	34102	G	13	0	13
Janthinobacterium	29580	G	17	0	17
Laribacter	168470	G	42	1	43
Thauera	33057	G	26	1	27
Azospira	146937	G	17	0	17
Nitrosomonas	914	G	45	0	45
Corallococcus	83461	G	77	1	78
Anaeromyxobacter	161492	G	79	0	79
Archangium	47	G	10	0	10
Sorangium	39643	G	19	0	19
Nannocystis	53	G	16	0	16
Pseudodesulfovibrio	2035811	G	67	1	68
Desulfovibrio	872	G	36	2	38
Campylobacter	194	G	15	1	16
Silvanigrella	2024975	G	19	0	19
Myroides	76831	G	13	3	16
Chryseobacterium	59732	G	27	3	30
Empedobacter	59734	G	10	3	13
Prevotella	838	G	15	0	15
Bacteroides	816	G	12	9	21
Pedobacter	84567	G	22	0	22
Sphingobacterium	28453	G	12	0	12
Brachyspira	29521	G	19	0	19
Chloracidobacterium	458032	G	17	0	17
Fusobacterium	848	G	10	1	11
