name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Tetragenococcus osmophilus	526944	S	13	0	13	0.00000
Vagococcus coleopterorum	2714946	S	57	1	58	0.00000
Vagococcus fluvialis	2738	S	37	5	42	0.00000
Vagococcus lutrae	81947	S	32	2	34	0.00000
Vagococcus carniphilus	218144	S	20	3	23	0.00000
Lactobacillus gasseri	1596	S	2516431	326811	2843242	0.02683
Lactobacillus johnsonii	33959	S	3974	69	4043	0.00004
Lactobacillus paragasseri	2107999	S	2911	556	3467	0.00003
Lactobacillus taiwanensis	508451	S	1038	9	1047	0.00001
Lactobacillus iners	147802	S	147	2	149	0.00000
Lactobacillus sp. PV034	2594495	S	42	38	80	0.00000
Lactobacillus sp. JM1	2690380	S	42	91	133	0.00000
Lactobacillus amylovorus	1604	S	58	1	59	0.00000
Lactobacillus jensenii	109790	S	50	1	51	0.00000
Lactobacillus delbrueckii	1584	S	31	4	35	0.00000
Lactobacillus panisapium	2012495	S	30	0	30	0.00000
Lactobacillus helveticus	1587	S	30	3	33	0.00000
Lactobacillus acidophilus	1579	S	28	5	33	0.00000
Lactobacillus intestinalis	151781	S	20	0	20	0.00000
Lactobacillus crispatus	47770	S	18	0	18	0.00000
Lactobacillus kefiranofaciens	267818	S	17	0	17	0.00000
Lactobacillus acetotolerans	1600	S	13	0	13	0.00000
Lactobacillus amylolyticus	83683	S	12	0	12	0.00000
Limosilactobacillus reuteri	1598	S	48	107	155	0.00000
Limosilactobacillus mucosae	97478	S	29	57	86	0.00000
Limosilactobacillus fermentum	1613	S	21	20	41	0.00000
Lactiplantibacillus plantarum	1590	S	135	10	145	0.00000
Lacticaseibacillus paracasei	1597	S	110	3	113	0.00000
Loigolactobacillus bifermentans	1607	S	51	9	60	0.00000
Ligilactobacillus salivarius	1624	S	13	3	16	0.00000
Latilactobacillus sakei	1599	S	15	2	17	0.00000
Nicolia spurrieriana	2925830	S	21	0	21	0.00000
Periweissella cryptocerci	2506420	S	12	0	12	0.00000
Dolosigranulum pigrum	29394	S	376	1	377	0.00000
Jeotgalibaca arthritidis	1868794	S	171	9	180	0.00000
Jeotgalibaca porci	1868793	S	16	0	16	0.00000
Carnobacterium viridans	174587	S	66	31	97	0.00000
Ignavigranum ruoffiae	89093	S	50	0	50	0.00000
Aerococcus urinaeequi	51665	S	21	4	25	0.00000
Suicoccus acidiformans	2036206	S	43	0	43	0.00000
Clostridium beijerinckii	1520	S	5554751	3035256	8590007	0.08105
Clostridium sp. MF28	1702238	S	8224	29152	37376	0.00035
Clostridium sp. DL-VIII	641107	S	7321	133	7454	0.00007
Clostridium sp. BJN0001	2930219	S	311	3	314	0.00000
Clostridium sp. BNL1100	755731	S	139	0	139	0.00000
Clostridium sp. JN-9	2507159	S	90	0	90	0.00000
Clostridium sp. JN-1	2483110	S	21	0	21	0.00000
Clostridium saccharoperbutylacetonicum	36745	S	7728	62	7790	0.00007
Clostridium diolis	223919	S	7074	30361	37435	0.00035
Clostridium gelidum	704125	S	6474	38	6512	0.00006
Clostridium saccharobutylicum	169679	S	6088	62	6150	0.00006
Clostridium neonatale	137838	S	2682	12	2694	0.00003
Clostridium botulinum	1491	S	2059	381	2440	0.00002
Clostridium baratii	1561	S	1042	8	1050	0.00001
Clostridium taeniosporum	394958	S	1025	10	1035	0.00001
Clostridium manihotivorum	2320868	S	804	3	807	0.00001
Clostridium estertheticum	238834	S	620	5	625	0.00001
Clostridium butyricum	1492	S	555	476	1031	0.00001
Clostridium pasteurianum	1501	S	467	0	467	0.00000
Clostridium isatidis	182773	S	445	5	450	0.00000
Clostridium felsineum	36839	S	439	1	440	0.00000
Clostridium bornimense	1216932	S	314	38	352	0.00000
Clostridium tyrobutyricum	1519	S	284	0	284	0.00000
Clostridium scatologenes	1548	S	250	39	289	0.00000
Clostridium chauvoei	46867	S	219	14	233	0.00000
Clostridium cadaveris	1529	S	202	1	203	0.00000
Clostridium carboxidivorans	217159	S	201	5	206	0.00000
Clostridium intestinale	36845	S	198	0	198	0.00000
Clostridium perfringens	1502	S	188	128	316	0.00000
Clostridium drakei	332101	S	186	29	215	0.00000
Clostridium septicum	1504	S	148	1	149	0.00000
Clostridium kluyveri	1534	S	143	0	143	0.00000
Clostridium tagluense	360422	S	139	1	140	0.00000
Clostridium tetani	1513	S	132	0	132	0.00000
Clostridium sporogenes	1509	S	129	240	369	0.00000
Clostridium acetobutylicum	1488	S	122	1	123	0.00000
Clostridium cellulovorans	1493	S	93	0	93	0.00000
Clostridium cochlearium	1494	S	93	1	94	0.00000
Clostridium argentinense	29341	S	89	0	89	0.00000
Clostridium gasigenes	94869	S	86	0	86	0.00000
Clostridium formicaceticum	1497	S	64	0	64	0.00000
Clostridium thermarum	1716543	S	49	12	61	0.00000
Clostridium novyi	1542	S	25	5	30	0.00000
Clostridium fermenticellae	2068654	S	16	0	16	0.00000
Geosporobacter ferrireducens	1424294	S	24	0	24	0.00000
Sarcina sp. JB2	2726954	S	11	0	11	0.00000
[Clostridium] scindens	29347	S	49	0	49	0.00000
Novisyntrophococcus fermenticellae	2068655	S	35	0	35	0.00000
Anaerostipes hadrus	649756	S	26	0	26	0.00000
Marvinbryantia formatexigens	168384	S	13	0	13	0.00000
[Ruminococcus] gnavus	33038	S	10	193	203	0.00000
Clostridioides difficile	1496	S	58	115	173	0.00000
Clostridioides sp. ES-S-0054-01	2770780	S	19	3	22	0.00000
Romboutsia ilealis	1115758	S	41	0	41	0.00000
Paeniclostridium sordellii	1505	S	12	0	12	0.00000
Faecalibacterium prausnitzii	853	S	15	1	16	0.00000
Faecalibacterium sp. I4-3-84	2929495	S	12	1	13	0.00000
Flavonifractor plautii	292800	S	23	1	24	0.00000
Ruthenibacterium lactatiformans	1550024	S	15	0	15	0.00000
Alkalicella caledoniensis	2731377	S	83	0	83	0.00000
Christensenella sp. Marseille-P3954	2086585	S	56	0	56	0.00000
Candidatus Contubernalis alkalaceticum	338645	S	55	0	55	0.00000
Desulfitobacterium metallireducens	142877	S	15	4	19	0.00000
Fenollaria sporofastidiosus	2811778	S	15	0	15	0.00000
Mahella australiensis	252966	S	17	6	23	0.00000
Limnochorda pilosa	1555112	S	78	0	78	0.00000
Finegoldia magna	1260	S	17	0	17	0.00000
Gottschalkia acidurici	1556	S	18	5	23	0.00000
Selenomonas sputigena	69823	S	23	9	32	0.00000
Thomasclavelia ramosa	1547	S	18	2	20	0.00000
Cutibacterium acnes	1747	S	4036397	157174	4193571	0.03957
Cutibacterium modestum	2559073	S	370	9	379	0.00000
Cutibacterium avidum	33010	S	122	3	125	0.00000
Cutibacterium granulosum	33011	S	31	0	31	0.00000
Cutibacterium sp. CBA3108	3016342	S	14	0	14	0.00000
Microlunatus phosphovorus	29405	S	94	0	94	0.00000
Microlunatus elymi	2596828	S	29	0	29	0.00000
Tessaracoccus aquimaris	1332264	S	24	2	26	0.00000
Tessaracoccus timonensis	2161816	S	18	0	18	0.00000
Tessaracoccus flavescens	399497	S	12	2	14	0.00000
Tessaracoccus palaemonis	2829499	S	11	0	11	0.00000
Propionibacterium acidifaciens	556499	S	56	0	56	0.00000
Propionibacterium australiense	119981	S	15	0	15	0.00000
Arachnia propionica	1750	S	10	0	10	0.00000
Nocardioides panacisoli	627624	S	174	9	183	0.00000
Nocardioides sp. TF02-7	2917724	S	56	15	71	0.00000
