name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptococcus himalayensis	1888195	S	21	0	21	0.00000
Streptococcus mitis	28037	S	19	2	21	0.00000
Streptococcus sobrinus	1310	S	14	0	14	0.00000
Streptococcus halotolerans	1814128	S	10	0	10	0.00000
Streptococcus acidominimus	1326	S	10	0	10	0.00000
Enterococcus faecalis	1351	S	691580	288995	980575	0.03625
Enterococcus mundtii	53346	S	193	2	195	0.00001
Enterococcus rotai	118060	S	180	0	180	0.00001
Enterococcus wangshanyuanii	2005703	S	179	0	179	0.00001
Enterococcus sp. LX10	2920934	S	167	754	921	0.00003
Enterococcus faecium	1352	S	144	120	264	0.00001
Enterococcus cecorum	44008	S	120	2	122	0.00000
Enterococcus raffinosus	71452	S	110	4	114	0.00000
Enterococcus dispar	44009	S	74	2	76	0.00000
Enterococcus avium	33945	S	62	3	65	0.00000
Enterococcus casseliflavus	37734	S	59	18	77	0.00000
Enterococcus durans	53345	S	45	2	47	0.00000
Enterococcus gilvus	160453	S	39	0	39	0.00000
Enterococcus thailandicus	417368	S	39	0	39	0.00000
Enterococcus hirae	1354	S	18	0	18	0.00000
Enterococcus saigonensis	1805431	S	17	1	18	0.00000
Tetragenococcus halophilus	51669	S	52	0	52	0.00000
Lactobacillus gasseri	1596	S	605943	71047	676990	0.02503
Lactobacillus johnsonii	33959	S	791	13	804	0.00003
Lactobacillus paragasseri	2107999	S	619	106	725	0.00003
Lactobacillus taiwanensis	508451	S	188	1	189	0.00001
Lactobacillus iners	147802	S	28	0	28	0.00000
Lactobacillus sp. JM1	2690380	S	11	21	32	0.00000
Lactobacillus amylovorus	1604	S	15	0	15	0.00000
Lactobacillus kefiranofaciens	267818	S	11	0	11	0.00000
Lacticaseibacillus paracasei	1597	S	27	0	27	0.00000
Lactiplantibacillus plantarum	1590	S	17	0	17	0.00000
Loigolactobacillus bifermentans	1607	S	15	1	16	0.00000
Dolosigranulum pigrum	29394	S	96	0	96	0.00000
Jeotgalibaca arthritidis	1868794	S	53	1	54	0.00000
Carnobacterium viridans	174587	S	14	13	27	0.00000
Ignavigranum ruoffiae	89093	S	14	0	14	0.00000
Suicoccus acidiformans	2036206	S	14	0	14	0.00000
Clostridium beijerinckii	1520	S	1550404	754962	2305366	0.08523
Clostridium sp. MF28	1702238	S	2300	6455	8755	0.00032
Clostridium sp. DL-VIII	641107	S	1985	28	2013	0.00007
Clostridium sp. BJN0001	2930219	S	72	0	72	0.00000
Clostridium sp. BNL1100	755731	S	36	0	36	0.00000
Clostridium sp. JN-9	2507159	S	18	0	18	0.00000
Clostridium sp. JN-1	2483110	S	10	0	10	0.00000
Clostridium saccharoperbutylacetonicum	36745	S	2079	13	2092	0.00008
Clostridium diolis	223919	S	1955	6643	8598	0.00032
Clostridium gelidum	704125	S	1740	8	1748	0.00006
Clostridium saccharobutylicum	169679	S	1729	14	1743	0.00006
Clostridium neonatale	137838	S	716	2	718	0.00003
Clostridium botulinum	1491	S	598	81	679	0.00003
Clostridium taeniosporum	394958	S	333	2	335	0.00001
Clostridium baratii	1561	S	252	1	253	0.00001
Clostridium manihotivorum	2320868	S	247	0	247	0.00001
Clostridium estertheticum	238834	S	169	1	170	0.00001
Clostridium pasteurianum	1501	S	168	0	168	0.00001
Clostridium butyricum	1492	S	131	89	220	0.00001
Clostridium isatidis	182773	S	114	1	115	0.00000
Clostridium felsineum	36839	S	110	0	110	0.00000
Clostridium bornimense	1216932	S	86	4	90	0.00000
Clostridium tyrobutyricum	1519	S	84	0	84	0.00000
Clostridium cadaveris	1529	S	70	0	70	0.00000
Clostridium chauvoei	46867	S	64	0	64	0.00000
Clostridium scatologenes	1548	S	63	7	70	0.00000
Clostridium carboxidivorans	217159	S	60	1	61	0.00000
Clostridium drakei	332101	S	51	6	57	0.00000
Clostridium intestinale	36845	S	50	0	50	0.00000
Clostridium septicum	1504	S	43	0	43	0.00000
Clostridium perfringens	1502	S	43	23	66	0.00000
Clostridium kluyveri	1534	S	35	0	35	0.00000
Clostridium tetani	1513	S	32	0	32	0.00000
Clostridium cochlearium	1494	S	24	0	24	0.00000
Clostridium acetobutylicum	1488	S	23	0	23	0.00000
Clostridium tagluense	360422	S	22	0	22	0.00000
Clostridium sporogenes	1509	S	22	32	54	0.00000
Clostridium cellulovorans	1493	S	15	0	15	0.00000
Clostridium argentinense	29341	S	15	0	15	0.00000
Clostridium formicaceticum	1497	S	12	0	12	0.00000
Clostridium gasigenes	94869	S	12	0	12	0.00000
[Clostridium] scindens	29347	S	16	1	17	0.00000
Clostridioides difficile	1496	S	14	50	64	0.00000
Alkalicella caledoniensis	2731377	S	13	0	13	0.00000
Christensenella sp. Marseille-P3954	2086585	S	12	0	12	0.00000
Limnochorda pilosa	1555112	S	17	0	17	0.00000
Cutibacterium acnes	1747	S	1109420	39045	1148465	0.04246
Cutibacterium modestum	2559073	S	76	1	77	0.00000
Cutibacterium avidum	33010	S	27	0	27	0.00000
Cutibacterium granulosum	33011	S	11	0	11	0.00000
Propionibacterium acidifaciens	556499	S	20	0	20	0.00000
Microlunatus phosphovorus	29405	S	18	0	18	0.00000
Nocardioides panacisoli	627624	S	56	3	59	0.00000
Nocardioides dongkuii	2760089	S	19	4	23	0.00000
Aeromicrobium sp. HA	3009077	S	14	1	15	0.00000
Aeromicrobium yanjiei	2662028	S	11	0	11	0.00000
Actinopolymorpha singaporensis	117157	S	10	0	10	0.00000
Schaalia odontolytica	1660	S	917514	7653	925167	0.03420
Schaalia meyeri	52773	S	3929	23	3952	0.00015
Schaalia sp. ZJ405	2709403	S	179	0	179	0.00001
Schaalia sp. 19OD2882	2794089	S	99	0	99	0.00000
Schaalia sp. JY-X169	2758572	S	64	0	64	0.00000
Schaalia turicensis	131111	S	266	8	274	0.00001
Schaalia cardiffensis	181487	S	237	1	238	0.00001
Schaalia radingae	131110	S	30	0	30	0.00000
Pauljensenia hongkongensis	178339	S	1312	24	1336	0.00005
Actinomyces pacaensis	1852377	S	647	5	652	0.00002
Actinomyces naeslundii	1655	S	99	46	145	0.00001
Actinomyces sp. oral taxon 414	712122	S	14	2	16	0.00000
Actinomyces sp. oral taxon 171	706438	S	13	15	28	0.00000
Actinomyces sp. Z16	2079536	S	10	5	15	0.00000
Actinomyces sp. MAS-1	2755559	S	10	0	10	0.00000
Actinomyces radicidentis	111015	S	44	2	46	0.00000
Actinomyces viscosus	1656	S	36	20	56	0.00000
Actinomyces procaprae	2560010	S	28	14	42	0.00000
Actinomyces marmotae	2737173	S	23	10	33	0.00000
Actinomyces gaoshouyii	1960083	S	21	8	29	0.00000
Actinomyces trachealis	2763540	S	18	3	21	0.00000
Actinomyces respiraculi	2744574	S	16	3	19	0.00000
Actinomyces faecalis	2722820	S	10	0	10	0.00000
Trueperella pecoris	2733571	S	10	1	11	0.00000
Flaviflexus salsibiostraticola	1282737	S	13	0	13	0.00000
Mobiluncus curtisii	2051	S	12	0	12	0.00000
Bifidobacterium adolescentis	1680	S	243293	171625	414918	0.01534
Bifidobacterium sp. KRGSERBCFTRI	2985571	S	744	442420	443164	0.01638
Bifidobacterium longum	216816	S	435	1060	1495	0.00006
Bifidobacterium catenulatum	1686	S	260	85	345	0.00001
Bifidobacterium dentium	1689	S	153	2	155	0.00001
Bifidobacterium angulatum	1683	S	91	6	97	0.00000
Bifidobacterium pseudocatenulatum	28026	S	89	21	110	0.00000
Bifidobacterium breve	1685	S	38	16	54	0.00000
Bifidobacterium scardovii	158787	S	38	0	38	0.00000
Bifidobacterium pseudolongum	1694	S	35	0	35	0.00000
Bifidobacterium thermophilum	33905	S	33	0	33	0.00000
Bifidobacterium subtile	77635	S	33	0	33	0.00000
Bifidobacterium pullorum	78448	S	31	1	32	0.00000
Bifidobacterium choerinum	35760	S	24	0	24	0.00000
Bifidobacterium asteroides	1684	S	24	0	24	0.00000
Bifidobacterium lemurum	1603886	S	16	1	17	0.00000
Bifidobacterium eulemuris	1765219	S	16	1	17	0.00000
Bifidobacterium bifidum	1681	S	15	22	37	0.00000
Bifidobacterium animalis	28025	S	10	88	98	0.00000
Bifidobacterium actinocoloniiforme	638619	S	10	0	10	0.00000
Bifidobacterium saguini	762210	S	10	3	13	0.00000
Gardnerella vaginalis	2702	S	19	1	20	0.00000
Rothia mucilaginosa	43675	S	1297	175	1472	0.00005
Rothia aeria	172042	S	463	139	602	0.00002
Rothia dentocariosa	2047	S	32	11	43	0.00000
