name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces tubercidicus	47759	S	50	10	60	0.00000
Streptomyces albus	1888	S	28	53	81	0.00001
Streptomyces niveus	193462	S	13	1	14	0.00000
Mycobacterium grossiae	1552759	S	106	1	107	0.00001
Mycolicibacterium mageritense	53462	S	44	0	44	0.00000
Mycolicibacterium smegmatis	1772	S	28	0	28	0.00000
Mycolicibacterium sediminis	1286180	S	24	0	24	0.00000
Mycolicibacterium pulveris	36813	S	10	0	10	0.00000
Microbacterium sp. No. 7	1714373	S	77	8	85	0.00001
Leucobacter sp. H21R-40	2932247	S	12	1	13	0.00000
Leucobacter muris	1935379	S	10	0	10	0.00000
Agromyces soli	659012	S	10	0	10	0.00000
Kocuria sp. BT304	1702043	S	13	0	13	0.00000
Brachybacterium avium	2017485	S	20	0	20	0.00000
Nocardioides panacisoli	627624	S	79	0	79	0.00001
Nonomuraea sp. ATCC 55076	1909395	S	48	0	48	0.00000
Micromonospora chokoriensis	356851	S	39	5	44	0.00000
Jatrophihabitans sp. SB3-54	2944128	S	10	0	10	0.00000
Caldilinea aerophila	133453	S	38	0	38	0.00000
Escherichia coli	562	S	97300	1922045	2019345	0.13609
Escherichia albertii	208962	S	2379	579	2958	0.00020
Escherichia marmotae	1499973	S	1488	312	1800	0.00012
Escherichia fergusonii	564	S	1164	1641	2805	0.00019
Escherichia sp. E4742	2044467	S	1133	309	1442	0.00010
Escherichia sp. SCLE84	2725997	S	15	610	625	0.00004
Shigella flexneri	623	S	1793	69422	71215	0.00480
Shigella dysenteriae	622	S	888	3255	4143	0.00028
Shigella boydii	621	S	673	7650	8323	0.00056
Shigella sonnei	624	S	618	5080	5698	0.00038
Citrobacter freundii	546	S	301	647	948	0.00006
Citrobacter werkmanii	67827	S	94	199	293	0.00002
Citrobacter portucalensis	1639133	S	37	144	181	0.00001
Citrobacter braakii	57706	S	26	264	290	0.00002
Citrobacter farmeri	67824	S	222	30	252	0.00002
Citrobacter sp. R56	1573676	S	57	5	62	0.00000
Citrobacter sp. RHB25-C09	2742624	S	55	15	70	0.00000
Citrobacter amalonaticus	35703	S	118	95	213	0.00001
Citrobacter rodentium	67825	S	60	0	60	0.00000
